Country,Imports,Year
United States,3375948.0,2022
European Union,2743745.0,2022
China,2715999.0,2022
Germany,1571057.0,2022
Japan,905099.0,2022
France,830300.0,2022
United Kingdom,816300.0,2022
Italy,743030.0,2022
India,732566.0,2022
South Korea,731366.0,2022
Netherlands,712801.0,2022
Hong Kong,669093.0,2022
Belgium,624289.0,2022
Mexico,604615.0,2022
Canada,567826.0,2022
Spain,499055.0,2022
Singapore,475516.0,2022
Taiwan,437335.0,2022
Vietnam,364052.0,2022
Turkey,363711.0,2022
Poland,358593.0,2022
Switzerland,356763.0,2022
Thailand,306260.0,2022
Malaysia,295092.0,2022
Australia,290113.0,2022
Brazil,272701.0,2022
United Arab Emirates,248418.0,2022
Indonesia,237447.0,2022
Czech Republic,235919.0,2022
Austria,231947.0,2022
Sweden,202093.0,2022
Russia,194393.0,2022
Hungary,158413.0,2022
Ireland,147913.0,2022
Philippines,145889.0,2022
Saudi Arabia,140017.0,2022
Romania,132700.0,2022
Denmark,125731.0,2022
Slovakia,115215.0,2022
Portugal,115036.0,2022
South Africa,111878.0,2022
Chile,109265.0,2022
Norway,107268.0,2022
Israel,107083.0,2022
Greece,97970.0,2022
Finland,97265.0,2022
Bangladesh,83203.0,2022
Egypt,79712.0,2022
Colombia,77413.0,2022
Argentina,76162.0,2022
Morocco,72833.0,2022
Pakistan,71105.0,2022
Nigeria,60488.0,2022
Peru,60246.0,2022
Slovenia,59722.0,2022
Bulgaria,58091.0,2022
Ukraine,55224.0,2022
Lithuania,55110.0,2022
New Zealand,54676.0,2022
Kazakhstan,50044.0,2022
Iraq,44817.0,2022
Croatia,44115.0,2022
Serbia,39756.0,2022
Algeria,33766.0,2022
Qatar,33479.0,2022
Ecuador,33048.0,2022
Guatemala,32099.0,2022
Dominican Republic,29990.0,2022
Panama,29249.0,2022
Uzbekistan,28264.0,2022
Latvia,27894.0,2022
Estonia,27002.0,2022
Democratic Republic of the Congo,26996.0,2022
Iran,26958.0,2022
Kuwait,26717.0,2022
Luxembourg,26068.0,2022
Scotland (UK),25400.0,2019
Puerto Rico (US),24251.0,2019
Tunisia,22296.0,2022
Oman,22026.0,2022
Costa Rica,21143.0,2022
Kenya,21128.0,2022
Lebanon,19500.0,2022
Jordan,19375.0,2022
Cambodia,19296.0,2020
Ghana,18943.0,2022
Côte d'Ivoire,17972.0,2022
Honduras,17820.0,2022
Angola,17711.0,2022
Macau (CN),17430.0,2022
Myanmar,17403.0,2022
Libya,17335.0,2022
Sri Lanka,17301.0,2022
El Salvador,17108.0,2022
Marshall Islands,16633.0,2022
Ethiopia,16544.0,2022
Tanzania,15654.0,2022
Bahrain,15534.0,2022
Bosnia and Herzegovina,15382.0,2022
Azerbaijan,14539.0,2022
Mozambique,14512.0,2022
Paraguay,14168.0,2022
Nepal,13716.0,2022
Bolivia,13049.0,2022
Uruguay,12973.0,2022
North Macedonia,12755.0,2022
Belarus,12535.0,2022
Senegal,12129.0,2022
Cyprus,11889.0,2022
Nicaragua,11247.0,2022
Venezuela,10856.0,2022
Gibraltar (UK),10814.0,2022
Georgia,10038.0,2022
Iceland,9764.0,2022
Kyrgyzstan,9629.0,2022
Moldova,9219.0,2022
Brunei,9189.0,2022
Zambia,9048.0,2022
Yemen,8985.0,2022
Mongolia,8747.0,2022
Armenia,8634.0,2022
Malta,8571.0,2022
Guyana,8557.0,2022
Albania,8407.0,2022
Botswana,8005.0,2022
Cameroon,7971.0,2022
Namibia,7958.0,2022
Laos,7625.0,2022
Sudan,7448.0,2022
Djibouti,6940.0,2022
Jamaica,6861.0,2022
Mauritius,6618.0,2022
Trinidad and Tobago,6202.0,2022
Guinea,6007.0,2022
Mali,5972.0,2022
Zimbabwe,5722.0,2022
Burkina Faso,5632.0,2022
Papua New Guinea,5598.0,2022
Madagascar,5478.0,2022
Tajikistan,5182.0,2022
Mauritania,5119.0,2022
Afghanistan,4689.0,2022
Cayman Islands (UK),4638.0,2022
Uganda,4572.0,2022
Kosovo,4400.0,2019
Syria,4325.0,2022
Haiti,4240.0,2022
Cuba,4200.0,2022
Niger,3787.0,2022
Bahamas,3758.0,2022
Montenegro,3722.0,2022
Republic of the Congo,3542.0,2022
Maldives,3522.0,2022
Somalia,3519.0,2022
Turkmenistan,3434.0,2022
Rwanda,3368.0,2022
Benin,3344.0,2022
Fiji,3016.0,2022
New Caledonia (FR),2836.0,2022
Togo,2798.0,2022
Gabon,2572.0,2022
Curaçao (NL),2283.0,2022
United States Minor Outlying Islands (US),2279.0,2022
French Polynesia (FR),2220.0,2022
Barbados,2147.0,2022
Eswatini,2022.0,2022
Liechtenstein,2188.0,2018
Liberia,1921.0,2022
Lesotho,1881.0,2022
Andorra,1864.0,2022
Suriname,1803.0,2022
Sierra Leone,1717.0,2022
Equatorial Guinea,1677.0,2022
Malawi,1553.0,2022
Palestine,1537.0,2022
Aruba (NL),1474.0,2022
Faroe Islands (DK),1444.0,2022
Gambia,1436.0,2022
Belize,1378.0,2022
Monaco,1371.0,2017 est.
Bhutan,1356.0,2022
Saint Lucia,1331.0,2022
British Virgin Islands (UK),1230.0,2022
Burundi,1204.0,2022
Bermuda (UK),1192.0,2022
Greenland (DK),1063.0,2022
Timor-Leste,933.5,2022
North Korea,904.8,2022
Chad,895.2,2022
Cape Verde,832.2,2022
Seychelles,717.5,2022
Turks and Caicos Islands (UK),678.3,2022
Central African Republic,629.5,2022
Antigua and Barbuda,623.0,2022
Grenada,589.3,2019
Solomon Islands,539.5,2022
South Sudan,512.5,2022
Samoa,492.1,2022
Saint Vincent and the Grenadines,438.0,2022
Vanuatu,424.7,2022
Dominica,400.0,2022
Guinea-Bissau,395.6,2022
Saint Kitts and Nevis,377.8,2022
Bonaire (NL),353.2,2019
Eritrea,332.1,2022
San Marino,315.0,2018
Comoros,271.7,2022
Tonga,244.7,2022
Kiribati,206.2,2022
São Tomé and Príncipe,196.3,2022
Palau,182.8,2022
Anguilla (UK),166.3,2022
Cook Islands (NZ),159.5,2022
Micronesia,159.1,2022
Northern Mariana Islands (US),154.6,2022
Western Sahara (MR),153.6,2022
Tuvalu,153.4,2022
Sint Maarten (NL),151.3,2022
Falkland Islands (UK),112.8,2022
Nauru,82.44,2022
American Samoa (US),74.41,2019
Saint Pierre and Miquelon (FR),70.43,2022
Wallis and Futuna (FR),59.98,2022
French Southern and Antarctic Lands (FR),56.4,2022
British Indian Ocean Territory (UK),56.64,2022
Christmas Island (AU),53.78,2022
"Saint Helena, Ascension and Tristan da Cunha (UK)",45.22,2022
Montserrat (UK),39.24,2022
Norfolk Island (AU),33.38,2022
Niue (NZ),31.7,2022
Guam (US),19.66,2019
Cocos Islands (AU),13.04,2022
Pitcairn Islands (UK),5.988,2019
Tokelau (NZ),3.77,2022
